"report_date","estimated_revenue","ecpm","fill_rate","impressions","total_ad_requests","total_matched_requests","ua_cost","roi","dau","dav","arpdau"
2026-03-25,717.202288,3.4699,0.898402,265454,346821,295591,3448.235200,0.207991,,,
2026-03-26,752.023503,3.1392,0.897279,272741,356833,304325,4929.595300,0.152553,,,
2026-03-27,835.371578,3.2366,0.901527,293747,380752,327400,9750.325700,0.085676,,,
2026-03-28,997.605241,3.4234,0.896824,347724,438181,380712,9549.861800,0.104463,,,
2026-03-29,1030.589997,3.1495,0.906695,372742,485231,414936,9791.892800,0.105249,,,
2026-03-30,935.472568,3.3247,0.895132,326571,451674,366664,10798.833700,0.086627,,,
2026-03-31,868.757501,3.1676,0.883757,310688,470938,361113,9244.721200,0.093973,,,
2026-04-01,814.241031,3.2923,0.893009,304656,468571,355289,11033.821300,0.073795,,,
2026-04-02,917.456696,3.2892,0.896383,314510,472650,360097,10865.813000,0.084435,,,
2026-04-03,1155.033017,3.6302,0.890604,360123,535386,407715,11553.901700,0.099969,,,
2026-04-04,1191.617949,3.6894,0.901335,387089,499546,420776,10259.753900,0.116145,,,
2026-04-05,1215.983072,3.8009,0.892138,380564,578147,434136,11199.427200,0.108575,,,
2026-04-06,1278.780626,3.7553,0.893073,368134,520502,411436,13543.690500,0.094419,,,
2026-04-07,1369.911418,3.8323,0.894866,381345,533260,427512,7494.265700,0.182795,,,
2026-04-08,1320.327466,4.1027,0.895142,373545,567383,427394,14727.035800,0.089653,,,
2026-04-09,960.649512,3.9813,0.821356,282346,447598,326254,5794.653500,0.165782,,,
