"event_name","event_count","unique_users"
screen_view,6650801,149346
user_engagement,5130859,145900
qonversion_remoteconfig_response,3586811,159771
ad_impression_custom,2564157,123863
intro_next_click,567246,68303
iap_show,500285,125555
iap_close,447049,98884
ad_clicked,389778,69358
qon_remoteConfigs,362886,161964
content_click,351272,81376
intro_normal,335695,143530
draw_mode,312793,78141
content_draw,312543,78063
session_start,219064,143431
content_start,219005,66767
content_done,157542,45970
exit_ok,108276,37271
StorKitPurchase,84400,34275
iap_click,84344,34250
total_disk_space,82663,82388
language_click_item,82186,42926
first_open,79381,79133
ATT_permission,62399,62188
notification_permission,59273,55518
intro_iap,51612,39080
dialog_reward_click,50115,17816
language_choose,44924,40843
intro_next_click_jp,43260,4909
dialog_reward_choose,42285,16240
draw_with_lesson,39756,15121
permission_response,34930,34733
app_update,34793,34407
intro_user_level_choose,30702,29640
intro_category_choose,30409,29598
intro_user_age_choose,30208,29517
intro_user_lear_to_draw,30080,29449
intro_expect_level_choose,30028,29395
end_onboard_global,29953,29293
end_onboard_iaa,28820,27383
drawing_capture_photo,26158,13103
upload_recomment,25746,11260
content_capture,25077,10189
preview_recomment,23575,9800
category_sample_choose,19954,9117
profile_info,19854,14932
draw_finish_with_template,19765,8850
home_category,19392,9151
os_update,18842,18620
lessons_drawing,17633,8713
AVNPurchase,16647,5761
