"date","module","daily_cost"
2026-03-25,tiktok,2311.320000
2026-03-25,apple,590.380000
2026-03-25,google,317.650700
2026-03-25,facebook,220.690000
2026-03-25,mintegral,8.194500
2026-03-26,tiktok,3101.100000
2026-03-26,apple,1115.664200
2026-03-26,google,431.802300
2026-03-26,facebook,265.120000
2026-03-26,mintegral,15.908800
2026-03-27,tiktok,4214.640000
2026-03-27,apple,3435.777500
2026-03-27,google,1386.869700
2026-03-27,facebook,692.600000
2026-03-27,mintegral,20.438500
2026-03-28,tiktok,4441.720000
2026-03-28,apple,2962.584200
2026-03-28,google,1435.268300
2026-03-28,facebook,681.660000
2026-03-28,mintegral,28.629300
2026-03-29,tiktok,4549.720000
2026-03-29,apple,3150.627300
2026-03-29,google,1336.981800
2026-03-29,facebook,725.210000
2026-03-29,mintegral,29.353700
2026-03-30,tiktok,5126.420000
2026-03-30,apple,3547.050800
2026-03-30,google,1526.737200
2026-03-30,facebook,574.270000
2026-03-30,mintegral,24.355700
2026-03-31,tiktok,5175.480000
2026-03-31,apple,2238.518100
2026-03-31,google,1330.799500
2026-03-31,facebook,476.710000
2026-03-31,mintegral,23.213600
2026-04-01,tiktok,5225.380000
2026-04-01,apple,3452.456400
2026-04-01,google,1837.532900
2026-04-01,facebook,482.760000
2026-04-01,mintegral,35.692000
2026-04-02,tiktok,5032.000000
2026-04-02,apple,3419.835900
2026-04-02,google,1906.162300
2026-04-02,facebook,465.670000
2026-04-02,mintegral,42.144800
2026-04-03,tiktok,5081.350000
2026-04-03,apple,3405.386100
2026-04-03,google,2474.855400
2026-04-03,facebook,529.790000
2026-04-03,mintegral,62.520200
2026-04-04,tiktok,4720.740000
2026-04-04,apple,2747.118100
2026-04-04,google,2229.228200
2026-04-04,facebook,472.630000
2026-04-04,mintegral,90.037600
2026-04-05,tiktok,5030.120000
2026-04-05,apple,3087.247900
2026-04-05,google,2436.422100
2026-04-05,facebook,522.080000
2026-04-05,mintegral,123.557200
2026-04-06,tiktok,7524.180000
2026-04-06,apple,2978.189400
2026-04-06,google,2493.236900
2026-04-06,facebook,430.890000
2026-04-06,mintegral,117.194200
2026-04-07,tiktok,5911.010000
2026-04-07,google,677.307700
2026-04-07,apple,635.786500
2026-04-07,facebook,230.900000
2026-04-07,mintegral,39.261500
2026-04-08,tiktok,8299.970000
2026-04-08,apple,2945.519700
2026-04-08,google,2915.295500
2026-04-08,facebook,487.080000
2026-04-08,mintegral,79.170600
2026-04-09,tiktok,4169.050000
2026-04-09,google,892.584500
2026-04-09,apple,446.638400
2026-04-09,facebook,246.150000
2026-04-09,mintegral,40.230600
