"country","event_date","dau","new_users","drawing_users","drawing_completions","dav","ad_impressions","iap_users","trial_starts","sub_upgrades"
Japan,2026-03-25,1623,719,924,1327,1110,19034,60,12,0
Japan,2026-03-26,1615,704,886,1559,1083,20685,53,6,0
Japan,2026-03-27,1479,653,827,1413,988,19886,39,0,0
Japan,2026-03-28,1511,657,814,1214,1029,16169,55,0,0
Japan,2026-03-29,1401,614,767,1068,942,15585,41,0,0
Japan,2026-03-30,1556,687,864,1365,1047,19666,53,0,0
Japan,2026-03-31,1591,721,892,1445,1107,21963,35,1,0
Japan,2026-04-01,1634,753,880,1489,1087,21981,41,5,1
Japan,2026-04-02,1535,690,831,1254,1021,16882,62,11,0
Japan,2026-04-03,1493,682,809,1140,971,17120,50,4,0
Japan,2026-04-04,1576,771,860,1432,1012,17808,53,6,0
Japan,2026-04-05,1439,675,759,1165,938,14674,43,5,0
Japan,2026-04-06,1517,739,886,1175,1043,16159,56,7,0
Japan,2026-04-07,1536,760,829,1336,1010,19314,45,11,0
Japan,2026-04-08,1250,573,685,943,826,12848,58,15,0
United Kingdom,2026-03-25,1355,498,877,1585,1068,22136,38,4,0
United Kingdom,2026-03-26,1361,530,851,1429,1048,20127,30,1,0
United Kingdom,2026-03-27,1477,609,945,1746,1144,22501,46,0,0
United Kingdom,2026-03-28,1885,778,1221,2532,1462,33707,57,0,0
United Kingdom,2026-03-29,1935,794,1247,2467,1488,32633,52,0,0
United Kingdom,2026-03-30,1883,787,1211,2408,1449,31137,54,0,0
United Kingdom,2026-03-31,1749,700,1087,2115,1349,27971,45,3,0
United Kingdom,2026-04-01,1641,584,1072,2087,1278,27093,40,1,0
United Kingdom,2026-04-02,1666,596,1029,2067,1287,29627,24,6,0
United Kingdom,2026-04-03,1776,679,1129,2208,1374,33271,45,6,0
United Kingdom,2026-04-04,1847,751,1154,2331,1405,33492,45,6,1
United Kingdom,2026-04-05,2051,956,1274,2485,1576,36837,69,8,0
United Kingdom,2026-04-06,2333,1194,1456,2711,1814,40097,90,12,0
United Kingdom,2026-04-07,2464,1257,1531,3083,1914,43439,68,12,0
United Kingdom,2026-04-08,2165,954,1301,2674,1633,38775,67,10,0
United States,2026-03-25,4674,1691,2605,3749,6980,45007,264,29,1
United States,2026-03-26,4766,1870,2634,3579,6918,45476,243,9,0
United States,2026-03-27,5197,2101,2886,4489,5403,48685,304,0,0
United States,2026-03-28,6129,2554,3484,5430,9104,67509,339,0,0
United States,2026-03-29,6201,2554,3510,5438,8045,62922,330,0,0
United States,2026-03-30,5055,2044,2813,4224,8946,53302,286,0,0
United States,2026-03-31,5062,1896,2746,3955,7099,46520,272,24,0
United States,2026-04-01,5230,2201,2898,4049,7220,50500,297,29,1
United States,2026-04-02,5189,2061,2842,4375,7214,49336,296,43,0
United States,2026-04-03,5999,2420,3370,5175,5848,60329,349,38,0
United States,2026-04-04,6193,2548,3481,5452,8193,64802,304,39,1
United States,2026-04-05,5813,2304,3198,4636,7417,59639,300,29,0
United States,2026-04-06,5329,2215,2938,4265,9257,54066,320,34,0
United States,2026-04-07,5252,2312,2846,4475,7534,61079,261,47,1
United States,2026-04-08,5413,2207,2938,4733,6829,61910,282,39,2
