"event_date","dau","new_users","dav","sessions","avg_sessions","avg_dur_min","ad_penetration"
2026-03-25,20479,7167,19244,24001,1.17,13.39,93.97
2026-03-26,21311,7982,19540,24551,1.15,12.73,91.69
2026-03-27,22801,9260,18801,26949,1.18,13.01,82.46
2026-03-28,26056,10523,24365,31547,1.21,13.77,93.51
2026-03-29,26401,10917,23762,31922,1.21,13.94,90.0
2026-03-31,23365,9094,21165,27649,1.18,12.87,90.58
2026-04-01,23561,9359,21148,27572,1.17,12.81,89.76
2026-04-02,23632,9089,21756,27840,1.18,12.56,92.06
2026-04-03,26551,11178,22231,31249,1.18,12.62,83.73
2026-04-04,27142,11534,24850,32400,1.19,12.73,91.56
2026-04-05,27287,11654,24534,32630,1.2,12.57,89.91
2026-04-06,26838,11895,26565,31560,1.18,12.39,98.98
2026-04-07,27455,12718,25416,32185,1.17,12.41,92.57
2026-04-08,26142,11065,23149,30446,1.16,12.44,88.55
