"ad_source_name","revenue","impressions","ecpm"
AdMob Network Waterfall,6315.810153999992,1047189,6.03
AdMob Network,4948.341598000005,2739619,1.81
Unity Ads (bidding),1491.1518700000001,240920,6.19
Liftoff Monetize (bidding),973.0661009999981,211445,4.6
AppLovin (bidding),717.9032030000005,65702,10.93
Pangle (bidding),679.3694319999993,385459,1.76
Meta Audience Network (bidding),509.349233,260935,1.95
Moloco Ads SDK (bidding),466.61936000000003,232509,2.01
Pangle,93.07983499999999,11216,8.3
,10.315883999999999,1211,8.52
