"event_date","dau","new_users","dav","sessions","total_engagement_msec","paying_users"
2026-03-25,20479,7167,19244,24001,16447559239,502
2026-03-26,21311,7982,19540,24551,16273297901,480
2026-03-27,22801,9260,18801,26949,17801354395,552
2026-03-28,26056,10523,24365,31547,21524175940,657
2026-03-29,26401,10917,23762,31922,22079580008,612
2026-03-30,23900,9672,23442,28189,18661859216,559
2026-03-31,23365,9094,21165,27649,18035678711,522
2026-04-01,23561,9359,21148,27572,18108520534,544
2026-04-02,23632,9089,21756,27840,17811393487,544
2026-04-03,26551,11178,22231,31249,20097804301,641
2026-04-04,27142,11534,24850,32400,20726985883,592
2026-04-05,27287,11654,24534,32630,20579845995,615
2026-04-06,26838,11895,26565,31560,19943659131,676
2026-04-07,27455,12718,25416,32185,20435716026,588
2026-04-08,26142,11065,23149,30446,19509302378,593
