"event_date","drawing_users","drawing_completions","pro_lessons","free_lessons","template_starts","template_completions","magic_photo_users","share_users"
2026-03-25,11886,20642,0,56,0,2124,59,47
2026-03-26,12059,20606,0,69,0,2054,62,52
2026-03-27,12833,23713,0,68,0,2718,70,54
2026-03-28,14798,28525,0,81,0,3255,81,61
2026-03-29,15106,28553,0,87,0,3234,78,63
2026-03-30,13597,24805,0,69,0,2770,69,73
2026-03-31,13228,23465,0,69,0,2707,67,49
2026-04-01,13283,23772,0,65,0,2747,63,46
2026-04-02,12897,22879,0,62,0,2419,65,66
2026-04-03,14202,25319,0,71,0,2716,66,72
2026-04-04,14452,27114,0,76,0,3172,87,75
2026-04-05,14599,26323,0,73,0,3149,78,61
2026-04-06,14650,25075,0,61,0,2752,74,51
2026-04-07,14626,25964,0,62,0,2865,77,59
2026-04-08,14074,24633,0,87,0,2692,73,50
