"event_date","step1_install","step2_language","step3_intro","step4_category","step5_level","step6_age","step7_iap","step8_complete"
2026-03-25,7167,1935,7898,4574,4583,4581,7132,6452
2026-03-26,7982,2101,8726,5153,5178,5179,7772,7105
2026-03-27,9260,2487,9450,6111,6106,6113,8274,8191
2026-03-28,10523,2747,11312,7120,7143,7137,9964,9440
2026-03-29,10917,3256,11608,7131,7129,7126,9839,9651
2026-03-30,9672,2610,10796,6493,6484,6494,9585,8715
2026-03-31,9094,2376,9868,6003,6020,6018,8879,8120
2026-04-01,9359,2475,10106,6149,6127,6167,9041,8410
2026-04-02,9089,4528,9048,3567,3585,3553,5919,7265
2026-04-03,11178,6024,10209,4016,4030,3997,5881,8507
2026-04-04,11534,6125,10914,4210,4220,4188,6659,8798
2026-04-05,11654,6382,11155,4189,4191,4179,6545,8982
2026-04-06,11895,6333,11693,4455,4469,4454,7167,9402
2026-04-07,12718,6765,11935,4630,4645,4622,7031,9709
2026-04-08,11065,5345,10654,4658,4649,4647,6830,8638
