"event_date","iap_shows","iap_clicks","iap_views","iap_pays","iap_purchases","iap_users","iap_revenue_usd","trial_starts","sub_upgrades","trial_cancels","sub_cancels","refunds"
2026-03-25,56876,8339,60,0,1044,502,481.147661,459,3,357,101,20
2026-03-26,56947,9423,32,0,1005,480,553.903953,180,0,166,52,29
2026-03-27,61642,11114,48,0,1163,552,695.6726270000001,0,0,20,16,1
2026-03-28,74866,12789,66,0,1404,657,708.637218,0,0,28,25,4
2026-03-29,76840,12919,63,0,1324,612,810.700349,0,0,25,18,3
2026-03-30,67732,11018,55,0,1183,559,658.698357,0,0,28,52,1
2026-03-31,64848,10828,60,0,1128,522,797.682608,248,0,145,103,20
2026-04-01,65029,11166,55,0,1174,544,634.610583,415,2,275,128,42
2026-04-02,64974,10673,49,0,1159,544,718.545919,494,0,297,127,35
2026-04-03,70968,12915,50,0,1335,641,615.086057,598,1,317,108,28
2026-04-04,75618,13110,88,0,1300,592,676.6175639999999,561,3,323,115,20
2026-04-05,74682,12694,65,0,1344,615,628.421385,585,0,309,107,25
2026-04-06,74302,11757,57,0,1418,676,945.054203,609,0,386,114,15
2026-04-07,71124,11843,43,0,1268,588,1005.856083,521,2,311,114,17
2026-04-08,68617,11352,52,0,1268,593,535.8251600000001,553,2,333,109,38
