"Event Date","Transaction ID","Transaction Date","Event Name","App Name","Platform","App ID","Product ID","Subscription Group","Currency","Price","Proceeds","Price USD","Proceeds USD","Refund","Q User ID","User ID","Device","Device ID","Local","Country","OS Version","Install Date","Media source","Campaign","Ad Set","Ad","App version","SDK version","User properties","Event receive date"
"2026-03-21 21:19:11","280002334662613","2025-03-21 21:19:11","Subscription Billing Retry","AR Draw_iOS","iOS","6504559449","ar_drawing_year_20250225","21508264","JPY","5000","3500","33.65","23.55","","QON_b498fb794a1a43f99cd542c16f86df70","","iPhone 12","0C197590-61F3-491A-8D55-1DABB06E7B80","ja","JP","iOS 18.3.2","2025-03-21 14:08:00","","","","","3.7.20250224","5.13.0","{""_q_appsflyer_user_id"":""1742566080015-0197590"",""_q_fb_anon_id"":""XZD550F443-4069-4B49-9805-981A52EBF953"",""_q_firebase_instance_id"":""9A7327940C5642FB8250CBA752042C2C""}","2026-03-21 21:19:13"
"2026-03-24 00:41:15","220002494878485","2025-03-24 00:41:15","Subscription Expired","AR Draw_iOS","iOS","6504559449","ar_drawing_year_20250225","21508264","USD","29.99","20.9899","29.99","20.9899","","QON_912c3091cefa48c3b32e7892dca7126b","","iPhone 12","0A41C4D9-D9B9-4096-BF8C-CB25ACACD84A","en","US","iOS 18.3.1","2025-03-23 05:14:22","","","","","3.9.20250421","5.13.0","{""_q_advertising_id"":""B587D558-CB6B-4ED7-B92A-A85B3757F7AA"",""_q_appsflyer_user_id"":""1742706861840-0414999""}","2026-03-24 00:44:25"
"2026-03-30 03:12:42","280002348793631","2025-03-30 03:12:42","Subscription Expired","AR Draw_iOS","iOS","6504559449","ar_drawing_pro_yearly_custom_country","21508264","USD","55.99","39.19","55.99","39.19","","QON_2318fad63e10475685856f8ab6d2dd93","","iPhone 8 Plus","71FF05E6-7BA5-47FD-AB1D-48A940598088","en","US","iOS 16.7.10","2025-03-30 03:10:36","","","","","3.7.20250224","5.13.0","{""_q_appsflyer_user_id"":""1743304235963-7105675"",""_q_fb_anon_id"":""XZ1DD43100-5135-4EDF-A6A7-5E2977BB0D1E""}","2026-03-30 03:13:14"
"2026-03-30 15:30:56","150002273106758","2025-03-30 15:30:56","Subscription Expired","AR Draw_iOS","iOS","6504559449","ar_drawing_pro_yearly_custom_country","21508264","USD","69.99","48.99","69.99","48.99","","QON_756429d3da42485898858e70fff0eb22","","iPhone 8","8CF2AC19-0995-48C3-AF00-B6E6C99B8C26","en","UA","iOS 16.7.11","2025-03-26 17:41:29","","","","","3.7.20250224","5.13.0","{""_q_appsflyer_user_id"":""1743010888885-8219099"",""_q_fb_anon_id"":""XZ389267E2-BE45-4231-947A-6F34E8F58551"",""_q_firebase_instance_id"":""D9A72E8B548946BDAFAC4C8B4BC9F9B6""}","2026-03-30 15:32:39"
"2026-04-04 13:43:21","500002140541181","2025-04-04 13:43:21","Subscription Expired","AR Draw_iOS","iOS","6504559449","ar_drawing_pro_yearly_custom_country","21508264","USD","55.99","39.19","55.99","39.19","","QON_27270ea8edfc4760b14bcfe357900eae","","iPad14,3","FEAB3C2D-8907-4D06-85D5-4997887FE97E","en","KW","iOS 17.6.1","2025-04-04 13:33:03","","","","","3.9.20250421","5.13.0","{""_q_advertising_id"":""0D391C89-09BC-4889-B7F7-14C92A9DF862"",""_q_appsflyer_user_id"":""1743773582795-3289074""}","2026-04-04 13:43:28"
"2026-04-13 02:29:58","360002322845558","2025-04-13 02:29:58","Subscription Expired","AR Draw_iOS","iOS","6504559449","ar_drawing_pro_yearly_custom_country","21508264","NZD","99.99","69.99","58.26","40.78","","QON_2e1ba74f770c41fbb775f8c56a24744e","","iPad12,1","B48FECF8-3DE4-49AE-B90D-7493BBECA57A","en","NZ","iOS 17.5.1","2025-04-13 02:26:19","","","","","3.8.20250411","5.13.0","{""_q_advertising_id"":""AAAFEE01-211F-4B7C-8953-D0F92DBA11A2"",""_q_appsflyer_user_id"":""1744511178951-4883449"",""_q_fb_anon_id"":""XZ675BC44B-9894-4EAF-A076-715218ECC5A4""}","2026-04-13 02:30:09"
"2026-04-12 11:27:03","440002320294111","2025-04-12 11:27:03","Subscription Expired","AR Draw_iOS","iOS","6504559449","ar_drawing_year_20250225","21508264","JPY","5000","3500","34.84","24.38","","QON_d3b62b24fd37408ba2f5e0571007105d","","iPad Pro","47E3B7D8-6C89-4EEE-848F-EE3445766D88","ja","JP","iOS 16.7.11","2025-04-09 10:27:18","","","","","3.9.20250421","5.13.0","{""_q_appsflyer_user_id"":""1744194437770-4737868"",""_q_fb_anon_id"":""XZ528909C6-6F9B-4992-8CCC-DD9190EB173F""}","2026-04-12 11:27:20"
"2026-04-15 22:36:44","420002366940781","2025-04-15 22:36:44","Subscription Expired","AR Draw_iOS","iOS","6504559449","ar_drawing_pro_yearly_custom_country","21508264","MXN","1199","839.3","59.68","41.77","","QON_630cf40a92c549e0a64841a255b71d99","","iPhone17,2","C5583FDD-6433-4B9E-9AB3-CB770DEBB8B6","es","MX","iOS 18.4","2025-04-15 22:29:48","","","","","3.9.20250421","5.13.0","{""_q_appsflyer_user_id"":""1744756187712-5583643"",""_q_fb_anon_id"":""XZ4AF42836-B128-426C-A4F3-EBDDBACB180F""}","2026-04-15 22:37:44"
"2026-04-07 14:19:33","110002729158406","2025-05-31 14:52:38","Subscription Canceled","AR Draw_iOS","iOS","6504559449","ar_drawing_year_discount_50","21508264","EUR","29.99","20.9899","34.03","23.82","","QON_6749ff30dbc94b70bbc34b8ea8eb5ee5","","iPhone 12","1386A35F-C40F-43C4-843B-A8121F31F37D","en","GR","iOS 18.4.1","2025-05-31 14:26:33","","","","","4.0.20250529","5.13.0","{""_q_appsflyer_user_id"":""1748701593110-1386354"",""_q_fb_anon_id"":""XZE0ED73C5-A87E-40D9-8D77-7636160D664D"",""_q_firebase_instance_id"":""1A1A4C8C8E4849AB979823564F513875""}","2026-04-07 14:19:33"
"2026-03-22 18:52:00","720001951772708","2025-06-11 14:40:15","Subscription Canceled","AR Draw_iOS","iOS","6504559449","ar_drawing_year_discount_50","21508264","USD","55.99","39.19","55.99","39.19","","QON_12e1f50059204c778d1d910f1bd3a4fa","","iPhone14,2","568DF2BE-726D-477E-B03F-17CBD3BFFFA5","en","US","iOS 18.5","2025-06-10 18:08:22","","","","","4.0.20250610","5.13.0","{""_q_appsflyer_user_id"":""1749578902236-5682726"",""_q_fb_anon_id"":""XZ4189AD61-2CE7-45A1-9DA7-EB1732FCA556"",""_q_firebase_instance_id"":""9C250CB545AB4F14A90E12567924E2DD""}","2026-03-22 18:52:02"
