"id","job_id","display_name","cron_expression","time_zone_id","enabled","sort_order","created_at","updated_at","job_type_name","job_method_name","manual_run_json"
15,token-refresh-job,Token Refresh,*/30 * * * *,UTC,true,10,2026-02-02 17:00:00.000 +0700,2026-02-02 17:00:00.000 +0700,"MediationPro.Jobs.TokenRefreshJob, MediationPro.Jobs",RefreshAllTokensAsync,""
16,structure-sync-job,Structure Sync,"0 0 * * *",UTC,true,20,2026-02-02 17:00:00.000 +0700,2026-02-02 17:00:00.000 +0700,"MediationPro.Jobs.StructureSyncJob, MediationPro.Jobs",SyncAllAccountsAsync,""
24,dashboard-cache-14days,Dashboard Cache 14 Days,"40 2/4 * * *",UTC,true,82,2026-02-02 17:00:00.000 +0700,2026-05-08 10:11:22.732 +0700,"MediationPro.Jobs.DashboardCacheJob, MediationPro.Jobs",Cache14DaysDataAsync,""
25,dashboard-cache-30days,Dashboard Cache 30 Days,"45 2/4 * * *",UTC,true,83,2026-02-02 17:00:00.000 +0700,2026-05-08 10:11:40.870 +0700,"MediationPro.Jobs.DashboardCacheJob, MediationPro.Jobs",Cache30DaysDataAsync,""
20,alert-calculation-job,Alert Calculation,"15 * * * *",UTC,true,60,2026-02-02 17:00:00.000 +0700,2026-04-10 10:49:18.621 +0700,"MediationPro.Jobs.AlertCalculationJob, MediationPro.Jobs",CalculateAllAlertsAsync,""
23,dashboard-cache-7days,Dashboard Cache 7 Days,"35 2/4 * * *",UTC,true,81,2026-02-02 17:00:00.000 +0700,2026-05-08 10:12:03.312 +0700,"MediationPro.Jobs.DashboardCacheJob, MediationPro.Jobs",Cache7DaysDataAsync,""
39,firebase-pipeline-daily,Firebase Pipeline Daily (T-1),"0 4 * * *",UTC,true,87,2026-03-02 17:00:00.000 +0700,2026-04-20 19:21:19.357 +0700,"MediationPro.Jobs.FirebasePipelineJob, MediationPro.Jobs",DailyPipelineAsync,""
37,performance-sync-job,Performance Sync,"0 */2 * * *",UTC,false,30,2026-03-02 11:33:15.922 +0700,2026-03-02 11:33:15.922 +0700,"MediationPro.Jobs.PerformanceSyncJob, MediationPro.Jobs",SyncAllAccountsAsync,""
42,waterfall-apply-policy-job,Waterfall Apply Policy,"0 2 * * *",UTC,true,56,2026-03-13 18:09:56.596 +0700,2026-03-13 18:09:56.596 +0700,"MediationPro.Jobs.WaterfallApplyPolicyJob, MediationPro.Jobs",RunAsync,""
22,dashboard-cache-today,Dashboard Cache Today,"30 2/4 * * *",UTC,true,80,2026-02-02 17:00:00.000 +0700,2026-05-08 10:12:15.958 +0700,"MediationPro.Jobs.DashboardCacheJob, MediationPro.Jobs",CacheTodayDataAsync,""
19,sow-calculator-job,SoW Calculator,"45 3/4 * * *",UTC,true,50,2026-02-02 17:00:00.000 +0700,2026-05-08 10:12:47.887 +0700,"MediationPro.Jobs.SoWCalculatorJob, MediationPro.Jobs",CalculateAllAccountsAsync,""
32,waterfall-recommendation-job,Waterfall Recommendation (8-Rule),"55 1-23/4 * * *",UTC,true,55,2026-02-08 10:14:20.832 +0700,2026-05-08 12:35:07.472 +0700,"MediationPro.Jobs.WaterfallRecommendationJob, MediationPro.Jobs",RunRecommendationsForAllMediationGroupsAsync,""
31,silver-gold-transform-job,Silver/Gold Transform (StarRocks),"35 * * * *",UTC,true,38,2026-02-05 15:14:50.828 +0700,2026-05-16 08:50:48.653 +0700,"MediationPro.Jobs.SilverGoldTransformJob, MediationPro.Jobs",RunTransformAsync,""
